timestamp,container,cpu_usage
1780115100,unknown,0.07318533090682208
1780115115,unknown,0.07334637759106795
1780115130,unknown,0.07436424786688403
1780115145,unknown,0.0602007505708004
1780115160,unknown,0.0584171805199498
1780115175,unknown,0.05507690311088207
1780115190,unknown,0.057930726107015905
1780115205,unknown,0.059914047420354166
1780115220,unknown,0.05941275528213998
1780115235,unknown,0.0595666174057866
1780115250,unknown,0.06019868016446784
1780115265,unknown,0.05861159040279111
1780115280,unknown,0.05406184424324448
1780115295,unknown,0.0537396850429736
1780115310,unknown,0.0596315517472297
1780115325,unknown,0.054640369742571436
1780115340,unknown,0.052739828165199676
1780115355,unknown,0.059612240741959
1780115370,unknown,0.06712643924433061
1780115385,unknown,0.0660827445888442
1780115400,unknown,0.06995666070808651
1780115415,unknown,0.056979439079891114
1780115430,unknown,0.06669904904204259
1780115445,unknown,0.05778218252909897
1780115460,unknown,0.07073854973550525
1780115475,unknown,0.06914322286150236
1780115490,unknown,0.06097635753398223
1780115505,unknown,0.06372963334921215
1780115520,unknown,0.061865455287118606
1780115535,unknown,0.0720263579553125
1780115550,unknown,0.07111789453167902
1780115565,unknown,0.06471491831648074
1780115580,unknown,0.07162314826943471
1780115595,unknown,0.07329493223324669
1780115610,unknown,0.06436794435197234
1780115625,unknown,0.0630439634054503
1780115640,unknown,0.058576050277981746
1780115655,unknown,0.05922687928545315
1780115670,unknown,0.06015050559266333
1780115685,unknown,0.061828807938784605
1780115700,unknown,0.062135366857813956
1780115715,unknown,0.059184980125913854
1780115730,unknown,0.05791351366232003
1780115745,unknown,0.05824859086891386
1780115760,unknown,0.05936755422931768
1780115775,unknown,0.06561690182629959
1780115790,unknown,0.07127048257241539
1780115805,unknown,0.06392650826757984
1780115820,unknown,0.07272144152189254
1780115835,unknown,0.07392260685068618
1780115850,unknown,0.07226432088835955
1780115865,unknown,0.07244377195162509
1780115880,unknown,0.06148590861414091
1780115895,unknown,0.060873412393063715
1780115910,unknown,0.06036248028056539
1780115925,unknown,0.058682890287374584
1780115940,unknown,0.061866651551374746
1780115955,unknown,0.062337361709386634
1780115970,unknown,0.05968078117065977
1780115985,unknown,0.05748097959905225
1780116000,unknown,0.05923060168401461
1780116015,unknown,0.05970653891513222
1780116030,unknown,0.052207980608513053
1780116045,unknown,0.06018875381308076
1780116060,unknown,0.058505056933405214
1780116075,unknown,0.0603298766388842
1780116090,unknown,0.06112942034019392
1780116105,unknown,0.0631469696891548
1780116120,unknown,0.06354890417755558
1780116135,unknown,0.06000571339503253
1780116150,unknown,0.06127917590992789
1780116165,unknown,0.06684767550292735
1780116180,unknown,0.07073388490328984
1780116195,unknown,0.06707001183360689
1780116210,unknown,0.06792700406865566
1780116225,unknown,0.06509320963287271
1780116240,unknown,0.06788279816396084
1780116255,unknown,0.06414890632851628
1780116270,unknown,0.06265279291904162
1780116285,unknown,0.06534485505368745
1780116300,unknown,0.06526370702176378
1780116315,unknown,0.06593270810684448
1780116330,unknown,0.06767747716807775
1780116345,unknown,0.07255217803311494
1780116360,unknown,0.06572180129284186
1780116375,unknown,0.061882024500224675
1780116390,unknown,0.2144145479927178
1780116405,unknown,0.2157052784476935
1780116420,unknown,0.19424374189702512
1780116435,unknown,0.18862312855602853
1780116450,unknown,0.06949706161059097
1780116465,unknown,0.06565811845212596
1780116480,unknown,0.061744759935133176
1780116495,unknown,0.062040685645732535
1780116510,unknown,0.060896353264517034
1780116525,unknown,0.060263167437646266
1780116540,unknown,0.06009555668471517
1780116555,unknown,0.06002356279042469
1780116570,unknown,0.060289111390475936
1780116585,unknown,0.06084153708647532
1780116600,unknown,0.05670370582449761
1780116615,unknown,0.05496949542481455
1780116630,unknown,0.06342625526767715
1780116645,unknown,0.06252411396529892
1780116660,unknown,0.06184104703406102
1780116675,unknown,0.06232095010829425
1780116690,unknown,0.06454462900295621
1780116705,unknown,0.06044564237996407
1780116720,unknown,0.06411810837109895
1780116735,unknown,0.060949294643225606
1780116750,unknown,0.06089820189133025
1780116765,unknown,0.0608822669027882
1780116780,unknown,0.06245451487504964
1780116795,unknown,0.06214500768967777
1780116810,unknown,0.061299543708050165
1780116825,unknown,0.060483928471644244
1780116840,unknown,0.06270944433101532
1780116855,unknown,0.06459578085996588
1780116870,unknown,0.06473849423980998
1780116885,unknown,0.06201588811716535
1780116900,unknown,0.06228427684530353
1780116915,unknown,0.07014693385755207
1780116930,unknown,0.06969823419328673
1780116945,unknown,0.06290635681675624
1780116960,unknown,0.06390360289103073
1780116975,unknown,0.07051148246493127
1780116990,unknown,0.07061802127186938
1780117005,unknown,0.0679795170837491
1780117020,unknown,0.06264621799957816
1780117035,unknown,0.06158138745405882
1780117050,unknown,0.06191319714166774
1780117065,unknown,0.07564485111678851
1780117080,unknown,0.05438769144204546
1780117095,unknown,0.06468737277448272
1780117110,unknown,0.04221320849673941
1780117125,unknown,0.06389784265642823
1780117140,unknown,0.06306448613893058
1780117155,unknown,0.060379829347937786
1780117170,unknown,0.0581871581697109
1780117185,unknown,0.05938142627971433
1780117200,unknown,0.061340141393471104
1780117215,unknown,0.06255630819095453
1780117230,unknown,0.061283117254196925
1780117245,unknown,0.05966593666789576
1780117260,unknown,0.05777461495878158
1780117275,unknown,0.061226734378371915
1780117290,unknown,0.061458699632178544
1780117305,unknown,0.061196311900173724
1780117320,unknown,0.06469369630280902
1780117335,unknown,0.06563320025532103
1780117350,unknown,0.062076611649813485
1780117365,unknown,0.0652230272952159
1780117380,unknown,0.0634791777789329
1780117395,unknown,0.06599702418845317
1780117410,unknown,0.0596879761149429
1780117425,unknown,0.06816920242290576
1780117440,unknown,0.06503017288295589
1780117455,unknown,0.06371472526552073
1780117470,unknown,0.06113296524822336
1780117485,unknown,0.05465364783574813
1780117500,unknown,0.05830847420051855
1780117515,unknown,0.059708592689809284
1780117530,unknown,0.05988858747211308
1780117545,unknown,0.059941617975370384
1780117560,unknown,0.058237551248865
1780117575,unknown,0.06512993561991727
1780117590,unknown,0.05544434221151705
1780117605,unknown,0.059095146238111844
1780117620,unknown,0.05955147079361618
1780117635,unknown,0.059697097429672934
1780117650,unknown,0.05489817837191869
1780117665,unknown,0.057853729992756626
1780117680,unknown,0.06251422318386089
1780117695,unknown,0.054813271037355754
1780117710,unknown,0.0595355638128036
1780117725,unknown,0.053409187398980484
1780117740,unknown,0.05495233221317823
1780117755,unknown,0.06026813548004965
1780117770,unknown,0.05749871881017618
1780117785,unknown,0.05863678790139793
1780117800,unknown,0.0564636097825226
1780117815,unknown,0.06412199915742692
1780117830,unknown,0.06628541651731631
1780117845,unknown,0.047517259519899505
1780117860,unknown,0.060478323411983226
1780117875,unknown,0.06368532559647415
1780117890,unknown,0.057441347390185846
1780117905,unknown,0.05887809641849516
1780117920,unknown,0.05910419738255122
1780117935,unknown,0.05602843880321183
1780117950,unknown,0.05961708740046075
1780117965,unknown,0.059522787451746564
1780117980,unknown,0.05821419926950369
1780117995,unknown,0.053622188644250286
1780118010,unknown,0.058630083348665415
1780118025,unknown,0.05956731104308746
1780118040,unknown,0.05860324820160502
1780118055,unknown,0.05794572511578662
1780118070,unknown,0.056389787284884314
1780118085,unknown,0.05792568902365458
1780118100,unknown,0.062173049157537845
1780118115,unknown,0.06803419956071012
1780118130,unknown,0.07950875866041344
1780118145,unknown,0.07977398438794328
1780118160,unknown,0.07718383712827112
1780118175,unknown,0.06349188869425311
1780118190,unknown,0.06021892765854415
1780118205,unknown,0.05702622473626456
1780118220,unknown,0.060136835970589574
1780118235,unknown,0.05847260361359497
1780118250,unknown,0.07099603896457221
1780118265,unknown,0.07070862404532699
1780118280,unknown,0.06252174288487296
1780118295,unknown,0.06306130549679954
1780118310,unknown,0.06035538038818828
1780118325,unknown,0.05948570739150542
1780118340,unknown,0.06303622137048435
1780118355,unknown,0.059349536968504264
1780118370,unknown,0.05581576852118054
1780118385,unknown,0.05816741693611532
1780118400,unknown,0.05797822193340276
1780118415,unknown,0.05534936899229027
1780118430,unknown,0.05820854628143894
1780118445,unknown,0.05960915283462297
1780118460,unknown,0.06033022430778548
1780118475,unknown,0.06297604378821431
1780118490,unknown,0.06344938486319107
1780118505,unknown,0.06449031134798223
1780118520,unknown,0.060725577551685866
1780118535,unknown,0.06301497993099436
1780118550,unknown,0.06387734557584701
1780118565,unknown,0.06683818347633994
1780118580,unknown,0.061276298753185826
1780118595,unknown,0.05835051809752997
1780118610,unknown,0.06360396781547396
1780118625,unknown,0.06504172034342894
1780118640,unknown,0.05999279390000884
1780118655,unknown,0.06258597015289714
1780118670,unknown,0.054159090265954
1780118685,unknown,0.06524819901100949
1780118700,unknown,0.05775235698844317
