timestamp,cpu,label,phase,anomaly_id,target_service
2026-06-11T08:01:10.573104+00:00,0.0003421486111424506,normal,baseline,0,search
2026-06-11T08:01:25.582132+00:00,0.0002816014421730616,normal,baseline,0,search
2026-06-11T08:01:40.624659+00:00,0.00029333902647310094,normal,baseline,0,search
2026-06-11T08:01:55.711155+00:00,0.00028407709897610925,normal,baseline,0,search
2026-06-11T08:02:10.727028+00:00,0.0002102005447867578,normal,baseline,0,search
2026-06-11T08:02:25.781448+00:00,0.00021713735859432346,normal,baseline,0,search
2026-06-11T08:02:40.800600+00:00,0.00029084810270549755,normal,baseline,0,search
2026-06-11T08:02:55.811631+00:00,0.00029897381089055074,normal,baseline,0,search
2026-06-11T08:03:10.825053+00:00,0.00020750829653709785,normal,baseline,0,search
2026-06-11T08:03:25.851247+00:00,0.00017593686340592308,normal,baseline,0,search
2026-06-11T08:03:40.856609+00:00,0.00022405113271802983,normal,baseline,0,search
2026-06-11T08:03:55.863322+00:00,0.00019687308620627535,normal,baseline,0,search
2026-06-11T08:04:10.871679+00:00,0.0001563333333333324,normal,baseline,0,search
2026-06-11T08:04:25.892506+00:00,0.00023096644023699086,normal,baseline,0,search
2026-06-11T08:04:40.906098+00:00,0.00021058161987113817,normal,baseline,0,search
2026-06-11T08:04:55.940254+00:00,0.00043347936361540234,normal,baseline,0,search
2026-06-11T08:05:10.952203+00:00,0.0004154082416176089,normal,baseline,0,search
2026-06-11T08:05:25.971394+00:00,0.00019774163903966326,normal,baseline,0,search
2026-06-11T08:05:40.991573+00:00,0.00021733251697623397,normal,baseline,0,search
2026-06-11T08:05:56.013341+00:00,0.00025267399496304714,normal,baseline,0,search
2026-06-11T08:06:11.028495+00:00,0.0003141641807535078,normal,baseline,0,search
2026-06-11T08:06:26.033892+00:00,0.0002370231151687341,normal,baseline,0,search
2026-06-11T08:06:41.065249+00:00,0.00019761331340442746,normal,baseline,0,search
2026-06-11T08:06:56.091881+00:00,0.00026489253846073853,normal,baseline,0,search
2026-06-11T08:07:11.112089+00:00,0.0002548819069853158,normal,baseline,0,search
2026-06-11T08:07:26.125107+00:00,0.00026374732603498356,normal,baseline,0,search
2026-06-11T08:07:41.146897+00:00,0.00024383898850317422,normal,baseline,0,search
2026-06-11T08:07:56.154356+00:00,0.00026743486656747635,normal,baseline,0,search
2026-06-11T08:08:11.164510+00:00,0.00029327149080197085,normal,baseline,0,search
2026-06-11T08:08:26.171283+00:00,0.00029129162417416776,normal,baseline,0,search
2026-06-11T08:08:41.182059+00:00,0.0002201046131404944,normal,baseline,0,search
2026-06-11T08:08:56.193206+00:00,0.0002531476216642363,normal,baseline,0,search
2026-06-11T08:09:11.215647+00:00,0.00022352409054685645,normal,baseline,0,search
2026-06-11T08:09:26.241735+00:00,0.00022136456993251467,normal,baseline,0,search
2026-06-11T08:09:41.251587+00:00,0.00020366767939498698,normal,baseline,0,search
2026-06-11T08:09:56.269224+00:00,0.00023237064563096384,normal,baseline,0,search
2026-06-11T08:10:11.292688+00:00,0.00023977128930965035,normal,baseline,0,search
2026-06-11T08:10:26.302856+00:00,0.00031043542700590483,normal,baseline,0,search
2026-06-11T08:10:41.307305+00:00,0.0003004669403252295,normal,baseline,0,search
2026-06-11T08:10:56.318011+00:00,0.00029460000000000044,normal,baseline,0,search
2026-06-11T08:11:11.325417+00:00,0.0004147279721560729,normal,baseline,0,search
2026-06-11T08:11:26.342168+00:00,0.0003686252771924963,normal,baseline,0,search
2026-06-11T08:11:41.353634+00:00,0.0003659390075064919,normal,baseline,0,search
2026-06-11T08:11:56.363572+00:00,0.00039118368777751937,normal,baseline,0,search
